sub_category,model_id,brand,total_mentions,n_replicates,BRP@1,BRP@3,BRP@5,MRR,prompt_condition
cat food,gpt-5.4-mini,Tiki Cat,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Wellness,23,40,0.0000,0.0000,0.5750,0.1150,context-free
cat food,gpt-5.4-mini,Weruva,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Whiskas,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,9 Lives,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Blue Buffalo,40,40,0.0000,0.0000,1.0000,0.2487,context-free
cat food,gemini-3.1-pro-preview,Fancy Feast,5,40,0.0000,0.0000,0.1250,0.0250,context-free
cat food,gemini-3.1-pro-preview,Friskies,8,40,0.0000,0.0000,0.2000,0.0400,context-free
cat food,gemini-3.1-pro-preview,Hill's Science Diet,40,40,0.0000,1.0000,1.0000,0.3333,context-free
cat food,gemini-3.1-pro-preview,Iams,25,40,0.0000,0.0000,0.6250,0.1263,context-free
cat food,gemini-3.1-pro-preview,Instinct,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Meow Mix,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Merrick,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Orijen,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Purina,40,40,1.0000,1.0000,1.0000,1.0000,context-free
cat food,gemini-3.1-pro-preview,Royal Canin,40,40,0.0000,1.0000,1.0000,0.5000,context-free
cat food,gemini-3.1-pro-preview,Taste of the Wild,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Tiki Cat,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Wellness,2,40,0.0000,0.0000,0.0500,0.0100,context-free
cat food,gemini-3.1-pro-preview,Weruva,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-3.1-pro-preview,Whiskas,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-2.5-flash,9 Lives,1,40,0.0000,0.0000,0.0250,0.0050,context-free
cat food,gemini-2.5-flash,Blue Buffalo,35,40,0.0750,0.1750,0.8750,0.2683,context-free
cat food,gemini-2.5-flash,Fancy Feast,9,40,0.0250,0.1500,0.2250,0.0871,context-free
cat food,gemini-2.5-flash,Friskies,4,40,0.0000,0.0750,0.1000,0.0425,context-free
cat food,gemini-2.5-flash,Hill's Science Diet,37,40,0.0000,0.7000,0.9250,0.2904,context-free
cat food,gemini-2.5-flash,Iams,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-2.5-flash,Instinct,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-2.5-flash,Meow Mix,1,40,0.0000,0.0250,0.0250,0.0083,context-free
cat food,gemini-2.5-flash,Merrick,11,40,0.0000,0.0000,0.2750,0.0600,context-free
cat food,gemini-2.5-flash,Orijen,2,40,0.0000,0.0000,0.0500,0.0125,context-free
cat food,gemini-2.5-flash,Purina,39,40,0.7750,0.9750,0.9750,0.8750,context-free
cat food,gemini-2.5-flash,Royal Canin,39,40,0.1250,0.8750,0.9750,0.5083,context-free
cat food,gemini-2.5-flash,Taste of the Wild,5,40,0.0000,0.0250,0.1250,0.0296,context-free
cat food,gemini-2.5-flash,Tiki Cat,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gemini-2.5-flash,Wellness,15,40,0.0000,0.0000,0.3750,0.0850,context-free
cat food,gemini-2.5-flash,Weruva,1,40,0.0000,0.0000,0.0250,0.0050,context-free
cat food,gemini-2.5-flash,Whiskas,1,40,0.0000,0.0000,0.0250,0.0063,context-free
cat food,claude-opus-4-7,9 Lives,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,claude-opus-4-7,Blue Buffalo,40,40,0.0000,0.0000,1.0000,0.2500,context-free
cat food,claude-opus-4-7,Fancy Feast,1,40,0.0000,0.0250,0.0250,0.0125,context-free
cat food,claude-opus-4-7,Friskies,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,claude-opus-4-7,Hill's Science Diet,40,40,0.0000,1.0000,1.0000,0.3333,context-free
cat food,claude-opus-4-7,Iams,39,40,0.0000,0.0000,0.9750,0.1950,context-free
cat food,claude-opus-4-7,Instinct,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,claude-opus-4-7,Meow Mix,0,40,0.0000,0.0000,0.0000,0.0000,context-free
